jahr;senat;kammer;richter;reihenfolge
1998;1;1;Seidl Grimm Hoemig;321
1998;1;2;KÅhling Jaeger Steiner;321
1998;1;3;Seidl Seibert Haas;321
1998;2;1;Sommer Jentsch Hassemer;321
1998;2;2;Limbach Kruis Winter;132
1998;2;3;Limbach Gra·hof Kirchhof;132
ab 27/02/1998;1;1;Papier Grimm Hoemig;321
ab 27/02/1998;1;2;KÅhling Jaeger Steiner;321
ab 27/02/1998;1;3;Papier Seibert Haas;321
ab 29/09/1998;2;1;Sommer Jentsch Bro·;321
ab 29/09/1998;2;2;Limbach Winter Hassemer;231
ab 29/09/1998;2;3;Limbach Gra·hof Kirchhof;132
ab 15 /10/1998;2;1;Sommer Bro· Osterloh;321
ab 15 /10/1998;2;2;Limbach Winter Hassemer;231
ab 15 /10/1998;2;3;Limbach Kirchhof Jentsch;231
1999;1;1;Papier Grimm Hoemig;321
1999;1;2;KÅhling Jaeger Steiner;321
1999;1;3;Papier Haas Steiner;321
1999;2;1;Sommer Bro· Osterloh;321
1999;2;2;Limbach Winter Hassemer;231
1999;2;3;Limbach Kirchhof Jentsch;231
ab 11/01/1999;1;1;Papier Grimm Hoemig;321
ab 11/01/1999;1;2;KÅhling Jaeger Steiner;321
ab 11/01/1999;1;3;Papier Haas Hohmann- Dennhardt;321
ab 16/12/1999;1;1;Papier Hoffmann- Riem  Hoemig ;321
ab 16/12/1999;1;2;KÅhling Jaeger Steiner;321
ab 16/12/1999;1;3;Papier Haas Hohmann- Dennhardt;321
2000;1;1;Papier Steiner Hoffmann- Riem;321
2000;1;2;Kuehling Jaeger Hoemig;321
2000;1;3;Papier Haas Hohmann- Dennhardt;321
2000;2;1;Sommer Bro· Osterloh;321
2000;2;2;Sommer Osterloh Di Fabio;321
2000;2;3;Limbach Winter Hassemer;231
2000;2;4;Limbach Jentsch Di Fabio;321
2001;1;1;Papier Steiner Hoffmann- Riem;321
2001;1;2;Kuehling Jaeger Hoemig;321
2001;1;3;Papier Haas Hohmann- Dennhardt;321
ab 22/01/2001;1;1;Papier Steiner Hoffmann- Riem;321
ab 22/01/2001;1;2;Jaeger Hoemig Bryde;321
ab 22/01/2001;1;3;Papier Haas Hohmann- Dennhardt;321
2001;2;1;Sommer Bro· Mellinghoff;321
2001;2;2;Sommer Osterloh Di Fabio;321
2001;2;3;Limbach Hassemer Mellinghoff;321
2001;2;4;Limbach  Jentsch Di Fabio;321
2002;1;1;Papier Steiner Hoffmann- Riem;321
2002;1;2;Jaeger Hoemig Bryde;321
2002;1;3;Papier Haas Hohmann- Dennhardt;321
2002;2;1;Sommer Bro· Mellinghoff;321
2002;2;2;Sommer Osterloh Di Fabio;321
2002;2;3;Limbach Hassemer Mellinghoff;321
ab 10/04/2002;2;1;Sommer Di Fabio LÅbbe- Wolff;321
ab 10/04/2002;2;2;Jentsch Bro· LÅbbe- Wolff;321
ab 10/04/2002;2;3;Hassemer Osterloh Mellinghoff;321
2002;2;4;Limbach Jentsch Di Fabio;321
2003;1;1;Papier Haas Hoffmann- Riem;321
2003;1;2;Jaeger Hoemig Bryde;321
2003;1;3;Papier Steiner Hohmann- Dennhardt;321
2003;2;1;Sommer Di Fabio LÅbbe- Wolff;321
2003;2;2;Jentsch Bro· LÅbbe- Wolff;321
2003;2;3;Hassemer Osterloh Mellinghoff;321
ab 31/07/2003;2;1;Bro· Di Fabio Gerhardt;321
ab 31/07/2003;2;2;Jentsch Bro· LÅbbe- Wolff;312
ab 31/07/2003;2;3;Hassemer Osterloh Mellinghoff;321
ab 01/01/2004;1;1;Papier Haas Hoffmann- Riem;321
2004;1;2;Jaeger Hoemig Bryde;321
2004;1;3;Papier Steiner Hohmann- Dennhardt;321
2004;2;1;Bro· Di Fabio Gerhardt;321
2004;2;2;Jentsch Bro· LÅbbe- Wolff;312
2004;2;3;Hassemer Osterloh Mellinghoff;321
ab 29/10/2004;1;1;Papier Haas Hoffmann- Riem;321
ab 29/10/2004;1;2;Hoemig Bryde Gaier;321
ab 29/10/2004;1;3;Papier Steiner Hohmann- Dennhardt;321
ab 01/01/ 2005;1;1;Papier Hohmann- Dennhardt Hoffmann- Riem;321
2005;1;2;Haas Hoemig Bryde;321
2005;1;3;Papier Steiner Gaier;321
2005;2;1;Bro· Di Fabio LÅbbe- Wolff;321
2005;2;2;Jentsch Bro· Gerhardt;321
2005;2;3;Hassemer Osterloh Mellinghoff;321
ab 01/10/2005;2;1;Hassemer Di Fabio Landau;321
ab 01/10/2005;2;2;Bro· LÅbbe- Wolff Gerhardt;321
ab 01/10/2005;2;3;Bro· Osterloh Mellinghoff;321
ab 01/01/2006;1;1;Papier Hohmann- Dennhardt Hoffmann- Riem;321
2006;1;2;Haas Hoemig Bryde;321
2006;1;3;Papier Steiner Gaier;321
2006;2;1;Hassemer Di Fabio Landau;321
2006;2;2;Bro· LÅbbe- Wolff Gerhardt;321
2006;2;3;Bro· Osterloh Mellinghofff;321
ab 26/04/2006;1;1;Papier Hohmann- Dennhardt Hoffmann- Riem;321
ab 26/04/2006;1;2;Haas Bryde Eichberger;321
ab 26/04/2006;1;3;Papier Steiner Gaier;321
ab 02/10/2006;1;1;Papier Hohmann- Dennhardt Hoffmann- Riem;321
ab 02/10/2006;1;2;Bryde Eichberger Schluckebier;321
ab 02/10/2006;1;3;Papier Steiner Gaier;321
ab 01/01/ 2007;1;1;Papier Hohmann- Dennhardt Hoffmann- Riem;321
2007;1;2;Bryde Eichberger Schluckebier;321
2007;1;3;Papier Steiner Gaier;321
2007;2;1;Hassemer Di Fabio Landau;321
2007;2;2;Bro· LÅbbe- Wolff Gerhardt;321
2007;2;3;Bro· Osterloh Mellinghofff;321
ab 30/09/2007;1;1;Papier Hohmann- Dennhardt Hoffmann- Riem;321
ab 30/09/2007;1;2;Bryde Eichberger Schluckebier;321
ab 30/09/2007;1;3;Papier Gaier Kirchhof;321
ab 01/01/2008;1;1;Papier Hoffmann- Riem Eichberger;321
2008;1;2;Hohmann- Dennhardt Gaier Kirchhof;321
2008;1;3;Papier Bryde Schluckebier;321
2008;2;1;Hassemer Di Fabio Landau;321
2008;2;2;Bro· LÅbbe- Wolff Gerhardt;321
2008;2;3;Bro· Osterloh Mellinghoff;321
ab 02/04/2008;1;1;Papier Eichberger Masing;321
ab 02/04/2008;1;2;Hohmann- Dennhardt Gaier Kirchhof;321
ab 02/04/2008;1;3;Papier Bryde Schluckebier;321
ab 07/05/2008;2;1;Vo·kuhle Osterloh Mellinghoff;132
ab 07/05/2008;2;2;Bro· Di Fabio Landau;321
ab 07/05/2008;2;3;Mellinghoff LÅbbe- Wolff Gerhardt;321
ab 01/01/2009;1;1;Papier Eichberger Masing;321
2009;1;2;Hohmann- Dennhardt Gaier Kirchhof;321
2009;1;3;Papier Bryde Schluckebier;321
2009;2;1;Osterloh Mellinghoff Gerhardt ;321
2009;2;2;Bro· Di Fabio Landau;321
2009;2;3;Vo·kuhle Mellinghoff LÅbbe- Wolff;132
2010;1;1;Papier Eichberger Masing;321
2010;1;2;Hohmann- Dennhardt Gaier Kirchhof;321
2010;1;3;Papier Bryde Schluckebier;321
2010;2;1;Osterloh Mellinghoff Gerhardt ;321
2010;2;2;Bro· Di Fabio Landau;321
2010;2;3;Vo·kuhle Mellinghoff LÅbbe-Wolff;132
ab 15/03/2010;1;1;Kirchhof Eichberger Masing;321
ab 15/03/2010;1;2;Hohmann-Dennhardt Gaier Paulus;321
ab 15/03/2010;1;3;Kirchhof Bryde Schluckebier;321
ab 16/11/2010;2;1;Vo·kuhle Gerhardt Landau;321
ab 16/11/2010;2;2;Di Fabio Gerhardt Hermanns;321
ab 16/11/2010;2;3;Mellinghoff LÅbbe-Wolff Huber;321
ab 01/01/2011;1;1;Kirchhof Eichberger Masing;321
2011;1;2;Hohmann-Dennhardt Gaier Paulus;321
2011;1;3;Kirchhof Bryde Schluckebier;321
2011;2;1;Vo·kuhle Gerhardt Landau;321
2011;2;2;Di Fabio Gerhardt Hermanns;321
2011;2;3;Mellinghoff LÅbbe-Wolff Huber;321
ab 02/02/2011;1;1;Kirchhof Eichberger Masing;321
ab 02/02/2011;1;2;Gaier Paulus Britz;321
ab 02/02/2011;1;3;Kirchhof Schluckebier Baer;321
2012;1;1;Kirchhof Eichberger Masing;321
2012;1;2;Gaier Paulus Britz;321
2012;1;3;Kirchhof Schluckebier Baer;321
ab 19/12/2011;2;1;Vo·kuhle Gerhardt Landau;321
ab 19/12/2011;2;2;Gerhardt Hermanns MÅller;321
ab 19/12/2011;2;3;LÅbbe-Wolff Huber Kessal-Wulf;321
2013;1;1;Kirchhof Eichberger Britz;321
2013;1;2;Gaier Schluckebier Paulus;321
2013;1;3;Kirchhof Masing Baer;321
2013;2;1;Vo·kuhle Gerhardt Huber;321
2013;2;2;Gerhardt Hermanns MÅller;321
2013;2;3;LÅbbe-Wolff Landau Kessal-Wulf;321
2014;1;1;Kirchhof Eichberger Britz;321
2014;1;2;Gaier Schluckebier Paulus;321
2014;1;3;Kirchhof Masing Baer;321
2014;2;1;Vo·kuhle Gerhardt Huber;321
2014;2;2;Gerhardt Hermanns MÅller;321
2014;2;3;LÅbbe-Wolff Landau Kessal-Wulf;321
ab 02/06/2014;2;1;Vo·kuhle Gerhardt Huber;321
ab 02/06/2014;2;2;Gerhardt Hermanns MÅller;321
ab 02/06/2014;2;3;Landau Kessal-Wulf Kînig;321
ab 15/07/2014;2;1;Vo·kuhle Landau Hermanns;321
ab 15/07/2014;2;2;Landau Kessal-Wulf Kînig;321
ab 15/07/2014;2;3;Huber MÅller Maidowski;321
2015;1;1;Kirchhof Eichberger Britz;321
2015;1;2;Gaier Schluckebier Paulus;321
2015;1;3;Kirchhof Masing Baer;321
2015;2;1;Vo·kuhle Landau Hermanns;321
2015;2;2;Landau Kessal-Wulf Kînig;321
2015;2;3;Huber MÅller Maidowski;321
2016;1;1;Kirchhof Eichberger Britz;321
2016;1;2;Gaier Schluckebier Paulus;321
2016;1;3;Kirchhof Masing Baer;321
2016;2;1;Vo·kuhle Landau Hermanns;321
2016;2;2;Landau Kessal-Wulf Kînig;321
2016;2;3;Huber MÅller Maidowski;321
